Kanton;Jahr;CVP;SP;SVP
Freiburg;1984;36.5;25.3;6.5
Solothurn;1984;30.7;23.0;0.0
Basel-Stadt;1984;11.9;19.9;0.0
Basel-Landschaft;1984;15.6;25.9;10.8
Schaffhausen;1984;9.7;30.6;22.8
Appenzell A. Rh. ;1984;;;
Appenzell I. Rh.;1984;;;
St. Gallen;1984;46.0;14.6;0.5
Graubünden;1984;;;
Aargau;1984;24.6;24.1;16.9
Thurgau ;1984;22.9;16.2;25.2
Tessin;1984;33.5;12.6;3.4
Waadt;1984;3.2;27.9;7.8
Wallis;1984;57.2;10.7;0.0
Neuenburg;1984;0.0;37.6;0.0
Genf;1984;13.2;25.4;0.0
Jura;1984;31.8;18.2;2.3
Zürich;1985;11.3;19.9;17.0
Bern;1985;2.4;25.9;37.3
Luzern;1985;51.1;7.1;0.0
Uri;1985;;;
Schwyz ;1985;48.0;14.5;4.1
Obwalden;1985;;;
Nidwalden;1985;53.0;5.5;0.0
Glarus;1985;20.2;19.7;28.1
Zug;1985;44.7;15.6;0.0
Freiburg;1985;36.5;25.3;6.5
Solothurn;1985;29.1;23.4;0.0
Basel-Stadt;1985;11.9;19.9;0.0
Basel-Landschaft;1985;15.6;25.9;10.8
Schaffhausen;1985;9.7;30.6;22.8
Appenzell A. Rh. ;1985;;;
Appenzell I. Rh.;1985;;;
St. Gallen;1985;46.0;14.6;0.5
Graubünden;1985;;;
Aargau;1985;23.3;20.5;15.9
Thurgau ;1985;22.9;16.2;25.2
Tessin;1985;33.5;12.6;3.4
Waadt;1985;3.2;27.9;7.8
Wallis;1985;57.8;10.3;0.0
Neuenburg;1985;0.0;32.4;0.0
Genf;1985;12.7;16.8;0.0
Jura;1985;31.8;18.2;2.3
Zürich;1986;11.3;19.9;17.0
Bern;1986;2.7;22.9;31.5
Luzern;1986;51.1;7.1;0.0
Uri;1986;;;
Schwyz ;1986;48.0;14.5;4.1
Obwalden;1986;62.8;0.0;0.0
Nidwalden;1986;48.1;3.7;0.0
Glarus;1986;19.8;17.8;27.1
Zug;1986;44.2;14.2;0.0
Freiburg;1986;39.4;23.3;7.8
Solothurn;1986;29.1;23.4;0.0
Basel-Stadt;1986;11.9;19.9;0.0
Basel-Landschaft;1986;15.6;25.9;10.8
Schaffhausen;1986;9.7;30.6;22.8
Appenzell A. Rh. ;1986;;;
Appenzell I. Rh.;1986;;;
St. Gallen;1986;46.0;14.6;0.5
Graubünden;1986;;;
Aargau;1986;23.3;20.5;15.9
Thurgau ;1986;22.9;16.2;25.2
Tessin;1986;33.5;12.6;3.4
Waadt;1986;2.7;25.0;7.8
Wallis;1986;57.8;10.3;0.0
Neuenburg;1986;0.0;32.4;0.0
Genf;1986;12.7;16.8;0.0
Jura;1986;34.0;18.7;1.8
Zürich;1987;8.8;17.2;15.8
Bern;1987;2.7;22.9;31.5
Luzern;1987;49.2;6.2;0.0
Uri;1987;;;
Schwyz ;1987;48.0;14.5;4.1
Obwalden;1987;62.8;0.0;0.0
Nidwalden;1987;48.1;3.7;0.0
Glarus;1987;20.2;19.7;28.1
Zug;1987;44.2;14.2;0.0
Freiburg;1987;39.4;23.3;7.8
Solothurn;1987;29.1;23.4;0.0
Basel-Stadt;1987;11.9;19.9;0.0
Basel-Landschaft;1987;13.5;24.1;10.4
Schaffhausen;1987;9.7;30.6;22.8
Appenzell A. Rh. ;1987;;;
Appenzell I. Rh.;1987;;;
St. Gallen;1987;46.0;14.6;0.5
Graubünden;1987;;;
Aargau;1987;23.3;20.5;15.9
Thurgau ;1987;22.9;16.2;25.2
Tessin;1987;31.1;12.1;2.1
Waadt;1987;2.7;25.0;7.8
Wallis;1987;57.8;10.3;0.0
Neuenburg;1987;0.0;32.4;0.0
Genf;1987;12.7;16.8;0.0
Jura;1987;34.0;18.7;1.8
Zürich;1988;8.8;17.2;15.8
Bern;1988;2.7;22.9;31.5
Luzern;1988;49.2;6.2;0.0
Uri;1988;;;
Schwyz ;1988;44.2;13.0;5.7
Obwalden;1988;62.8;0.0;0.0
Nidwalden;1988;48.1;3.7;0.0
Glarus;1988;20.2;19.7;28.1
Zug;1988;44.2;14.2;0.0
Freiburg;1988;39.4;23.3;7.8
Solothurn;1988;29.1;23.4;0.0
Basel-Stadt;1988;10.6;18.3;0.0
Basel-Landschaft;1988;13.5;24.1;10.4
Schaffhausen;1988;7.7;29.5;20.5
Appenzell A. Rh. ;1988;;;
Appenzell I. Rh.;1988;;;
St. Gallen;1988;42.7;14.2;0.4
Graubünden;1988;;;
Aargau;1988;23.3;20.5;15.9
Thurgau ;1988;20.3;13.9;22.9
Tessin;1988;31.1;12.1;2.1
Waadt;1988;2.7;25.0;7.8
Wallis;1988;57.8;10.3;0.0
Neuenburg;1988;0.0;32.4;0.0
Genf;1988;12.7;16.8;0.0
Jura;1988;34.0;18.7;1.8
Zürich;1989;8.8;17.2;15.8
Bern;1989;2.7;22.9;31.5
Luzern;1989;49.2;6.2;0.0
Uri;1989;;;
Schwyz ;1989;44.2;13.0;5.7
Obwalden;1989;62.8;0.0;0.0
Nidwalden;1989;48.1;3.7;0.0
Glarus;1989;20.2;19.7;28.1
Zug;1989;44.2;14.2;0.0
Freiburg;1989;39.4;23.3;7.8
Solothurn;1989;27.6;22.2;0.0
Basel-Stadt;1989;10.6;18.3;0.0
Basel-Landschaft;1989;13.5;24.1;10.4
Schaffhausen;1989;7.7;29.5;20.5
Appenzell A. Rh. ;1989;;;
Appenzell I. Rh.;1989;;;
St. Gallen;1989;42.7;14.2;0.4
Graubünden;1989;;;
Aargau;1989;20.7;17.7;15.6
Thurgau ;1989;20.3;13.9;22.9
Tessin;1989;31.1;12.1;2.1
Waadt;1989;2.7;25.0;7.8
Wallis;1989;58.3;12.8;0.0
Neuenburg;1989;0.0;37.0;0.0
Genf;1989;12.7;19.0;1.6
Jura;1989;34.0;18.7;1.8
Zürich;1990;8.8;17.2;15.8
Bern;1990;1.6;24.7;32.3
Luzern;1990;49.2;6.2;0.0
Uri;1990;;;
Schwyz ;1990;44.2;13.0;5.7
Obwalden;1990;63.1;0.0;0.0
Nidwalden;1990;44.8;0.0;0.0
