,Kanton,Year,Population,Divorces_p1k,Pre_school_p1k,Primary_school_p1k,Secondary_school_p1k,SP,CVP,SVP
585,Obwalden,2003,33142.0,1.3276205419105667,14.362440407941584,75.79506366543963,47.04000965542212,15.3,50.4,13.4
587,Obwalden,2005,33269.0,1.382668550302083,12.263668880940216,74.24328954882924,46.28933842315669,15.3,50.4,13.4
588,Obwalden,2006,33755.0,1.5701377573692787,12.975855428825358,71.69308250629535,43.90460672492964,13.1,35.2,13.8
589,Obwalden,2007,33997.0,2.2354913668853134,12.70700355913757,71.12392269906168,42.062534929552605,13.1,35.2,13.8
590,Obwalden,2008,34429.0,2.0041244299863483,12.605652211798194,68.28545702750588,40.40198669726103,13.1,35.2,13.8
591,Obwalden,2009,35032.0,1.627083809088833,11.018497373829641,66.25371089289791,39.36401004795616,13.1,35.2,13.8
592,Obwalden,2010,35585.0,1.9109175214275678,12.533370802304342,64.69017844597442,36.672755374455534,10.9,33.8,21.1
593,Obwalden,2011,35885.0,1.6998745994147972,13.821931169012123,62.22655705726627,36.44977009892713,10.9,33.8,21.1
594,Obwalden,2012,36115.0,1.7998061747196457,13.484701647514884,61.24878859199778,35.27620102450505,10.9,33.8,21.1
595,Obwalden,2013,36507.0,1.2874243295806282,14.983427835757526,59.24891116772126,34.84263291971403,10.9,33.8,21.1
596,Obwalden,2014,36834.0,1.4117391540424609,14.361731009393495,60.51474181462779,32.90438182114351,12.8,32.1,24.5
597,Obwalden,2014,36834.0,1.4117391540424609,14.361731009393495,60.51474181462779,32.90438182114351,12.8,32.1,24.5
598,Obwalden,2015,37076.0,1.6722408026755853,16.075089006365303,59.76912288272737,32.71658215557234,12.8,32.1,24.5
599,Obwalden,2016,37378.0,1.5517149125153833,16.13248434908235,60.276098239606185,30.71325378564931,12.8,32.1,24.5
600,Obwalden,2017,37575.0,1.1443779108449768,16.73985362608117,60.359281437125745,31.696606786427147,12.8,32.1,24.5
601,Obwalden,2018,37841.0,1.1363336064057503,15.750112312042493,61.49414656060886,31.13025554292963,15.1,29.8,24.5
602,Obwalden,2019,37930.0,1.4236751911415766,18.21776957553388,61.92987081465858,30.767202741892962,15.1,29.8,24.5
603,Obwalden,2020,38108.0,1.5219901333053427,17.79153983415556,61.5356355620867,31.122074105174768,15.1,29.8,24.5
633,Schaffhausen,1999,73552.0,2.963889493147705,22.56906678268436,70.19523602349358,35.25396998042202,27.7,5.5,27.2
634,Schaffhausen,2000,73305.0,1.21410544983289,22.645112884523567,70.43175772457539,35.372757656367234,26.6,5.4,33.6
635,Schaffhausen,2001,73229.0,2.212238320883803,21.917546327274714,68.27896052110502,37.362247197148676,26.6,5.4,33.6
636,Schaffhausen,2002,73834.0,2.1805672183546876,21.507706476690956,66.44635262887016,38.586559037841646,26.6,5.4,33.6
