"Jahr","Kanton","Ehedauer",Scheidungen
"1981","St. Gallen","Ehedauer - Total",582
"1981","Graubünden / Grigioni / Grischun","Ehedauer - Total",196
"1981","Aargau","Ehedauer - Total",733
"1981","Thurgau","Ehedauer - Total",296
"1981","Ticino","Ehedauer - Total",325
"1981","Vaud","Ehedauer - Total",1103
"1981","Valais / Wallis","Ehedauer - Total",246
"1981","Neuchâtel","Ehedauer - Total",297
"1981","Genève","Ehedauer - Total",919
"1981","Jura","Ehedauer - Total",61
"1982","Schweiz","Ehedauer - Total",11589
"1982","Zürich","Ehedauer - Total",2520
"1982","Bern / Berne","Ehedauer - Total",1499
"1982","Luzern","Ehedauer - Total",369
"1982","Uri","Ehedauer - Total",25
"1982","Schwyz","Ehedauer - Total",140
"1982","Obwalden","Ehedauer - Total",22
"1982","Nidwalden","Ehedauer - Total",41
"1982","Glarus","Ehedauer - Total",50
"1982","Zug","Ehedauer - Total",141
"1982","Fribourg / Freiburg","Ehedauer - Total",249
"1982","Solothurn","Ehedauer - Total",366
"1982","Basel-Stadt","Ehedauer - Total",437
"1982","Basel-Landschaft","Ehedauer - Total",444
"1982","Schaffhausen","Ehedauer - Total",135
"1982","Appenzell Ausserrhoden","Ehedauer - Total",84
"1982","Appenzell Innerrhoden","Ehedauer - Total",7
"1982","St. Gallen","Ehedauer - Total",607
"1982","Graubünden / Grigioni / Grischun","Ehedauer - Total",206
"1982","Aargau","Ehedauer - Total",828
"1982","Thurgau","Ehedauer - Total",299
"1982","Ticino","Ehedauer - Total",375
"1982","Vaud","Ehedauer - Total",1038
"1982","Valais / Wallis","Ehedauer - Total",233
"1982","Neuchâtel","Ehedauer - Total",311
"1982","Genève","Ehedauer - Total",1073
"1982","Jura","Ehedauer - Total",90
"1983","Schweiz","Ehedauer - Total",11710
"1983","Zürich","Ehedauer - Total",2548
"1983","Bern / Berne","Ehedauer - Total",1400
"1983","Luzern","Ehedauer - Total",407
"1983","Uri","Ehedauer - Total",21
"1983","Schwyz","Ehedauer - Total",140
"1983","Obwalden","Ehedauer - Total",33
"1983","Nidwalden","Ehedauer - Total",33
"1983","Glarus","Ehedauer - Total",68
"1983","Zug","Ehedauer - Total",116
"1983","Fribourg / Freiburg","Ehedauer - Total",248
"1983","Solothurn","Ehedauer - Total",392
"1983","Basel-Stadt","Ehedauer - Total",441
"1983","Basel-Landschaft","Ehedauer - Total",422
"1983","Schaffhausen","Ehedauer - Total",130
"1983","Appenzell Ausserrhoden","Ehedauer - Total",66
"1983","Appenzell Innerrhoden","Ehedauer - Total",9
"1983","St. Gallen","Ehedauer - Total",650
"1983","Graubünden / Grigioni / Grischun","Ehedauer - Total",224
"1983","Aargau","Ehedauer - Total",786
"1983","Thurgau","Ehedauer - Total",346
"1983","Ticino","Ehedauer - Total",406
"1983","Vaud","Ehedauer - Total",1106
"1983","Valais / Wallis","Ehedauer - Total",253
"1983","Neuchâtel","Ehedauer - Total",351
"1983","Genève","Ehedauer - Total",1029
"1983","Jura","Ehedauer - Total",85
"1984","Schweiz","Ehedauer - Total",11219
"1984","Zürich","Ehedauer - Total",2491
"1984","Bern / Berne","Ehedauer - Total",1466
"1984","Luzern","Ehedauer - Total",367
"1984","Uri","Ehedauer - Total",14
"1984","Schwyz","Ehedauer - Total",130
"1984","Obwalden","Ehedauer - Total",20
"1984","Nidwalden","Ehedauer - Total",25
"1984","Glarus","Ehedauer - Total",54
"1984","Zug","Ehedauer - Total",101
"1984","Fribourg / Freiburg","Ehedauer - Total",248
"1984","Solothurn","Ehedauer - Total",395
"1984","Basel-Stadt","Ehedauer - Total",432
"1984","Basel-Landschaft","Ehedauer - Total",430
"1984","Schaffhausen","Ehedauer - Total",125
"1984","Appenzell Ausserrhoden","Ehedauer - Total",61
"1984","Appenzell Innerrhoden","Ehedauer - Total",10
"1984","St. Gallen","Ehedauer - Total",610
"1984","Graubünden / Grigioni / Grischun","Ehedauer - Total",188
"1984","Aargau","Ehedauer - Total",672
"1984","Thurgau","Ehedauer - Total",279
"1984","Ticino","Ehedauer - Total",413
"1984","Vaud","Ehedauer - Total",1091
"1984","Valais / Wallis","Ehedauer - Total",223
