,Divorces_p1k,Pre_school_p1k,Primary_school_p1k,Secondary_school_p1k,SP,CVP,SVP,Foreigners_p1k,Cars_p1k,Average_age_when_married,Average_duration_of_marriage_when_divorced
102,2.9484081789055767,16.65265197075009,27.951335298938783,41.00096861062917,28.2,9.3,13.9,305.3890940829599,437.25319056083623,31.3,12.719219
103,3.498242768315761,16.35036496350365,30.240605569072724,41.351716680183834,28.2,9.3,13.9,319.98918626655853,455.30683968640176,31.0,12.017137
104,2.2066521704115325,16.890821722906765,30.32938713054683,40.976081179028746,28.2,9.3,13.9,322.5953665673404,456.57297790663335,30.5,11.795022
105,2.3956249166333197,17.628384687208218,30.860344137655062,40.13338668800854,30.7,7.3,15.0,329.0169401093771,460.08803521408566,30.6,12.814292
106,2.1760371827712786,17.688224575487894,39.78133995299337,31.938099136451264,30.7,7.3,15.0,332.3632714500753,452.1562310190931,30.4,12.573156
107,2.1250918249553994,18.24430685276524,47.6282925805436,23.64361423024452,30.7,7.3,15.0,340.3137789904502,451.3327736383671,30.7,13.019644
108,2.1250918249553994,18.24430685276524,47.6282925805436,23.64361423024452,30.7,7.3,15.0,340.3137789904502,451.3327736383671,30.7,13.019644
109,2.1478805319653627,19.164099115302605,48.958121542928936,23.308674413633828,30.7,7.3,15.0,345.67321978761004,444.12643300645925,31.1,12.940223
110,2.139120526234008,19.112239084269955,49.40177137825659,23.19883979903662,32.5,5.9,14.3,349.3655150981509,445.3514269435956,30.7,13.459404
111,1.7946655114796708,18.957443736204798,52.3495678362935,24.351754440250016,32.5,5.9,14.3,356.06576314540916,444.09204364956577,31.5,13.646416
112,1.8535062587926023,18.93040879825021,53.4795600874896,23.84399741227935,32.5,5.9,14.3,358.17853218734274,442.06894427158744,31.1,13.03521667
113,2.0118053144339374,19.316394681481178,54.42597169175466,24.412287330732624,32.5,5.9,14.3,362.0177283960703,437.7106268254325,31.3,13.252449
114,1.9213663049279488,19.823620606399473,54.24047576689455,24.886268330495337,30.0,6.3,11.0,364.74953617810763,432.20575901593514,32.0,13.34587988
115,2.9011253652905844,15.568772146652577,68.26177330095493,32.98718395805929,25.9,0.9,31.7,114.69673859238712,594.4688884248595,29.0,13.169677
116,1.0660212610840778,15.564334277140096,68.24231532188332,32.97778098031569,25.9,0.9,31.7,117.17438666689273,610.7072616605348,29.1,14.063078
117,1.9359406536969914,15.488581965740615,66.52154156671703,33.11177098413839,25.9,0.9,31.7,117.24065052678299,625.2845262123406,29.2,13.820254
118,1.99033266988911,15.573036784296379,65.83472867237438,33.41863330490001,26.1,1.0,31.8,120.73737086532083,662.9124148316641,29.4,13.59055
119,2.0935819580086075,15.565829128836702,64.81490235378278,33.77043290820909,26.1,1.0,31.8,121.73238917304039,661.2641117193318,29.5,13.591797
120,2.0935819580086075,15.774872184352866,63.16356726196666,33.959517079027734,26.1,1.0,31.8,121.73238917304039,661.2641117193318,29.5,13.591797
121,2.8994926149139455,16.172377186896593,61.12443890899668,34.03952086798793,26.1,1.0,31.8,123.73571673367715,672.1640350070633,29.7,14.695714
122,2.730220242632942,16.180048534931277,60.017916418551735,33.52914859468744,24.0,1.8,27.4,123.80057503569206,696.4814781983883,29.8,15.032316
123,2.4943353042943692,15.987837778899294,58.61687965091767,32.77112137090828,24.0,1.8,27.4,122.23385276152618,697.6880149369355,29.9,14.898435
124,2.4068940543629984,16.06934495960483,56.940118580541196,31.902436709415774,24.0,1.8,27.4,123.72859148725006,703.081298959351,30.2,14.682401
125,2.43575728648632,16.414930689207427,55.645711763588864,31.557067853238696,24.0,1.8,27.4,126.91906983428022,675.7620081397199,30.2,14.837075
126,2.768926783166395,16.71256029279385,54.93456841280177,31.126697026542097,18.9,1.3,26.6,129.70171524450856,684.3372436471858,30.3,14.797712
127,2.293293917238383,16.79515474404241,53.91017272289822,30.42294471527218,18.9,1.3,26.6,133.70137029133664,691.343348432459,30.8,14.671967
